紅皺紗,ang5-jiau5-se
紅仁土,ang5-jin5-tho͘5
紅日仔,ang5-jit8-a2
紅角刺,ang5-kak-chhi3
紅柑,ang5-kam
紅柑種,ang5-kam-cheng2
紅甘蔗,ang5-kam-chia3
紅紺色,ang5-kam3-sek
紅茄苳,ang5-ka-tang
紅九層,ang5-kau2-chan
紅猴,ang5-kau5
紅厚殼,ang5-kau7-khak
紅鮭,ang5-ke5
紅雞油,ang5-koe-iu5
紅雞屎籐,ang5-ke-sai2-tin5
紅腳早,ang5-kha-cha2
紅尻川仔,ang5-kha-chhng-a2
紅腳鳥,ang5-kha-chiau2
紅腳朮,ang5-kha-chut8
紅腳反,ang5-kha-hoan2
紅麴,ang5-khak
紅腳疥,ang5-kha-koe3
紅腳烏尖,ang5-kha-o͘-chiam
紅腳大花,ang5-kha-toa7-hoe
紅口,ang5-khau2
紅口色,ang5-khau2-sek
紅口藤,ang5-khau2-tin5
紅契,ang5-khe3
紅柿,ang5-khi7
紅車,ang5-ku
紅痣,ang5-ki3
紅ki3-ki3,ang5-ki-ki
紅橘,ang5-kiat
紅金瓜,ang5-kim-koe
紅茄,ang5-kio5
紅轎,ang5-kio7
紅菊仔,ang5-kiok-a2
紅罐,ang5-koan3
紅膏赤chhih8,ang5-ko-chhiah-chhih8
紅瓜,ang5-koe
紅檜,ang5-koe3
紅瓜魚,ang5-koe-hi5
紅瓜鰾,ang5-koe-pio7
紅廣仔錢,ang5-kong2-a2-chiⁿ5
紅廣仔豆,ang5-kong2-a2-tau7
紅管獅,ang5-kong2-sai
紅貢,ang5-kong3
紅貢彩,ang5-kong3-chhai2
紅貢鞋,ang5-kong3-e5
紅絳絳,ang5-kong3-kong3
紅貢緞,ang5-kong3-toan7
紅公卯,ang5-kong-bau2
紅公豆,ang5-kong-tau7
紅菇,ang5-ko͘
紅姑魚,ang5-ko͘-hi5
紅龜,ang5-ku
紅龜粿,ang5-ku-koe2
紅帥,ang5-kun
紅筋,ang5-kun
紅根仔草,ang5-kun-a2-chhau2
紅帥娶bo͘2,ang5-kun chhoa7-bo͘2
紅筋疔,ang5-kun-teng
紅骨kiah8糟珠仔草,ang5-kut8 kiah8-cho chu-a2-chhau2
紅骨擦鼻草,ang5-kut chhat-phiⁿ7-chhau2
紅骨凊飯籐,ang5-kut chhin3-png7-tin5
紅骨蛇,ang5-kut-choa5
紅骨細本奶仔草,ang5-kut soe3-pun2 lin-a2-chhau2
紅骨大本奶仔草,ang5-kut toa7-pun2 lin-a2-chhau2
紅六角,ang5-lak8-kak
紅藍花,ang5-lam5-hoe
紅螺,ang5-le5
紅綠蛤,ang5-lek8-kap
紅綠鮭,ang5-lek8-koe5
紅綾,ang5-leng5
紅痢,ang5-li7
紅聯,ang5-lian5
紅綾,ang5-lin5
紅奶仔草,ang5-lin-a2-chhau2
紅奶草,ang5-lin-chhau2
紅liok8,ang5-liok8
紅羅帕,ang5-lo5-phe3
紅毛,ang5-mng5
紅毛草,ang5-mng5-chhau2
紅毛番,ang5-mng5-hoan
紅毛國,ang5-mng5-kok
